time,cloud,temp,humidity,ground_press,wind_speed,wind_dir,rain,snow,dew_point,vis,uv_idx,azimuth,elevation,model1,model2,model3,model4,model5
2023-10-26 1:00,23,17.39,87,1018,0.07,340,0,0,15,1.62544,0,25.4244,-65.4712,0,0,0,0,0
2023-10-26 2:00,31,17.26,87,1018,0.56,97,0,0,14.4444,1.62544,0,51.9255,-57.6768,0,0,0,0,0
2023-10-26 3:00,41,17.01,88,1017,0.76,82,0,0,14.4444,1.62544,0,68.487,-46.966,0,0,0,0,0
2023-10-26 4:00,100,16.83,88,1017,1.33,83,0,0,13.8889,1.62544,0,80.0096,-35.1174,0,0,0,0,0
2023-10-26 5:00,97,16.61,88,1017,1.38,103,0,0,14.4444,1.62544,0,89.2503,-22.8664,0,0,0,0,0
2023-10-26 6:00,67,16.46,88,1017,1.29,132,0,0,14.4444,1.62544,0,97.6262,-10.5838,0,0,0,0,0
2023-10-26 7:00,69,16.4,88,1018,1.05,97,0,0,14.4444,1.62544,0,106.022,1.4613,0.66068,1.41442,0.176678,2.22941,0
2023-10-26 8:00,75,16.72,87,1018,1.4,121,0,0,15,1.62544,0,115.171,12.9837,3.64468,5.32221,4.8893,5.25096,4.43411
2023-10-26 9:00,79,17.28,85,1018,0.92,115,0,0,15,1.62544,0,125.842,23.5944,12.418,11.2299,14.4391,14.7305,24.6089
2023-10-26 10:00,67,17.82,83,1018,0.5,140,0,0,15,1.62544,1,138.896,32.7029,25.5445,22.7993,25.7624,26.7107,45.7526
2023-10-26 11:00,38,18.35,80,1018,1.19,234,0,0,14.4444,1.62544,4,155.044,39.4344,47.872,48.4107,52.3519,65.4792,56.3271
2023-10-26 12:00,26,18.98,77,1017,2.22,250,0,0,14.4444,1.62544,4,174.035,42.728,52.9692,55.6327,57.9999,72.3475,62.9014
2023-10-26 13:00,20,19.4,74,1017,2.67,260,0,0,13.8889,1.62544,4,193.856,41.859,59.568,60.2647,60.387,69.2338,68.7165
2023-10-26 14:00,16,19.7,72,1016,3.56,259,0,0,14.4444,1.62544,3,211.82,37.0347,57.5109,54.2441,52.212,60.2219,31.0328
2023-10-26 15:00,16,19.74,73,1016,3.7,259,0,0,14.4444,1.62544,2,226.646,29.2055,45.1822,42.1549,40.5774,48.2175,39.6871
2023-10-26 16:00,4,19.55,76,1016,3.3,262,0,0,14.4444,16.0934,1,238.61,19.3916,30.3514,30.332,35.8747,33.505,20.4527
2023-10-26 17:00,42,19.2,80,1015,2.96,256,0,0,15.5556,16.0934,0,248.543,8.34673,11.754,11.614,16.435,8.89529,6.95675
2023-10-26 18:00,28,18.66,84,1016,3.22,247,0,0,15.5556,16.0934,0,257.274,-3.43446,3.63922,4.44812,4.77666,0.661575,0
2023-10-26 19:00,26,18.47,87,1016,3.06,241,0,0,15.5556,16.0934,0,265.538,-15.6177,2.20388,0,0.238776,0,0
2023-10-26 20:00,37,18.37,88,1016,3.04,231,0,0,15.5556,16.0934,0,274.095,-27.9377,0,0,0,0,0
2023-10-26 21:00,46,18.31,88,1016,3.28,233,0.26,0,15.5556,16.0934,0,283.977,-40.107,0,0,0,0,0
2023-10-26 22:00,37,18.44,87,1015,3.7,231,0,0,15.5556,16.0934,0,297.011,-51.6628,0,0,0,0,0
2023-10-26 23:00,32,18.45,88,1015,4.01,233,0,0,16.1111,11.2654,0,316.871,-61.5753,0,0,0,0,0
2023-10-27 0:00,44,18.27,90,1014,4.35,248,0.2,0,16.1111,4.82803,0,348.603,-67.363,0,0,0,0,0
2023-10-27 1:00,4,17.35,84,1015,7.54,344,0,0,13.8889,9.65606,0,25.7866,-65.7803,0,0,0,0,0
2023-10-27 2:00,4,16.92,80,1015,7.2,347,0,0,12.2222,11.2654,0,52.3895,-57.9147,0,0,0,0,0
2023-10-27 3:00,4,16.67,74,1015,7.45,343,0,0,11.1111,16.0934,0,68.9047,-47.1575,0,0,0,0,0
2023-10-27 4:00,0,16.44,66,1015,7.66,341,0,0,10,16.0934,0,80.3746,-35.2866,0,0,0,0,0
2023-10-27 5:00,0,16.29,62,1016,7.54,336,0,0,9.44444,16.0934,0,89.578,-23.029,0,0,0,0,0
2023-10-27 6:00,0,16.11,61,1016,7.9,332,0,0,8.88889,16.0934,0,97.9307,-10.7506,0,0,0,0,0
